-7.3,-4,1.2,6.4,13.9,16.5,19.8,18.5,13.5,8.2,4.8,-1.9
-6.8,-4.6,-0.4,6.3,11.7,18.3,21.2,19.6,14.1,8,3,-2.9
-6.9,-6.4,0.3,6.5,12.3,18,19.8,18.1,15.9,7.6,3.2,-3.6
-7.2,-5.9,2,6.5,12.3,18.2,19.6,20.1,15.8,8,2,-4
-7,-5.2,-0.1,5.9,11.9,14.5,19.8,17.8,14.2,8.3,2.9,-3.3
-6.8,-4.6,0.7,7,12.2,17.2,20.8,18.4,15,7.4,1.5,-2.4
-7.9,-4.9,-0.2,7,13.3,18.5,21.3,20.4,14.3,10.4,1.8,-3.8
-6.7,-5,-0.8,8.7,13.9,17.2,20.4,19.8,16.2,7.3,3.5,-4.6
-6.9,-2,-0.5,5.5,11.9,17.1,19.9,20.1,15.5,8.7,3.2,-4
-3.6,-5.1,1.5,7.1,12.2,18,18.3,18.7,14.6,9.7,1.2,-0.5
-5.7,-5,0.6,5.7,11.8,17.2,21.7,17.6,14.1,7.2,3.1,-4.9
-6.7,-5.5,0.1,6.5,12,18.1,20.6,19,14.4,9.4,4,-2.6
-6.3,-4,-1.7,4.7,13.9,18.1,20.4,18.8,14.8,8.7,4.1,-2.9
-7.6,-2.7,-0.7,6.8,11.7,18.9,22.3,19.3,15.2,10.2,1.9,-4.5
-5.2,-4.6,-1.2,5.6,12.4,16.7,19.7,20.5,15,9.4,3.2,-2.8
-5.1,-4.7,-0.8,4.4,12.2,16.9,20.3,19.4,12.1,8.4,2.6,-2.9
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
8.7,9.9,10.1,11,10.4,11.3,11.1,10.3,10.1,12.3,10.6,10.7
6.6,8.1,9.4,9,9.1,11.3,12.4,10.2,9.7,12.4,11.1,9.2
7,9.2,11.1,9.8,8.9,12.8,13.5,9.7,9.5,10.6,10,8.9
9.2,9.5,10.4,11.4,8.7,11.2,12.1,9.2,11.5,10.8,10.4,9.8
9.7,6.8,10,11,9.9,10.5,13.2,9.5,9.5,13.1,12,11
8.9,10.1,10.9,10.1,11.5,9.5,11.3,9.2,10,10.7,10.1,8.4
6.8,9,9.7,8.7,10.5,11.8,12.1,8.5,11,10.4,10.6,9.4
7.9,5.7,9.4,11.5,10.7,12.5,12.8,8.9,9.1,11.9,10.7,9
8.1,7.7,9.5,11.1,10.9,10.4,11.9,8.3,9.6,12.9,9.9,8.9
9.7,8.6,9.8,10.5,8.1,11.1,11.8,11.4,10.1,12.8,10.9,9
8.4,7.8,10,10.6,11.1,11.5,10.2,9.8,8.5,10.7,10.4,10.3
8.9,8,10.2,10.9,11.2,12.3,12.3,7.8,9.4,11.9,11.9,8.9
11.5,8.4,9.8,9.8,8.8,11.3,11.5,9.4,9.7,10.7,12.4,9.8
7.1,9.1,9.6,10.8,11.7,11.5,12.4,10.6,9.1,10.9,10.1,9
7.3,8.6,9.2,10.1,9.4,10,10,10,10.2,11.9,9.9,8
9.1,7.3,9.4,9.6,9.6,12,11.7,9.2,9.6,13,10.7,11.1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1
